,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
4860,mott the hoople,sea diver,1972,pop,morning shadow illspent time say time go try hard leave try sleep hours lord wish escape iron veil ride ride ride fail come go die grow like diver lose space sweet say lord wish escape iron veil ride right ride fail,41,0.0014619884001604,0.001461988418465,0.0014619883785051,0.1090418976920488,0.0014619883187347,0.0835496398748486,0.0303748623082919,0.0014619883742091,0.0014619883465847,0.001461988360867,0.3591255306261537,0.0014619884062622,0.0014619883285231,0.0014619884082858,0.3974402322728721,0.0014619884699946,0.2732589624174158,0.6105940568674204,0.4688749687499686,5.5364372469635625e-06,0.1580791426215993,0.2191948337125243,sadness,0.6857142857142857
5115,the hollies,the air that i breathe,1973,pop,wish think pass think anythin need cigarettes sleep light sound book read make leave peaceful warm tire leave desire peace come leave weak sleep silent sleep need breathe need breathe need breathe peace come leave weak sleep silent sleep need breathe need breathe need breathe need breathe need breathe need breathe need breathe,53,0.0010741139307779,0.4966325630452093,0.0010741138980548,0.0010741139275028,0.2269539912844643,0.0010741138583795,0.0010741139180777,0.0463573897211423,0.0010741138817938,0.0010741139158844,0.0010741138976348,0.0611937300463032,0.0483472529231687,0.0010741138952412,0.1065515924173811,0.0010741138594622,0.2266868840030326,0.6342845422147014,0.1375493348888904,9.210526315789474e-06,0.2281533388293487,0.4384208996317,violence,0.6714285714285714
5150,can,bel air,1973,pop,hate story store right start hate come start gown party stay hide come start run shred head come start gown spin spin spin spin alive spin spin spin spin alive spin spin spin spin alive spin spin spin spin alive spin spin spin spin alive spin spin spin spin alive spin alive break break die break wall tonight break tonight die yeah come speed life come wait goal make speed life break walk goal come speed life come wait goal make speed life break walk goal break know speak know wake know spin alive break know speak know wake know spin alive break know speak know wake know spin alive break know speak know wake know spin alive,118,0.0004873294778632,0.305537558188371,0.0390609314864768,0.0554275228127412,0.0102467412138301,0.0004873294372976,0.0004873294372731,0.1085553923317682,0.0004873295188662,0.0004873294424921,0.0004873294668785,0.3345467089814363,0.0004873294384467,0.0004873294491096,0.1407771915472318,0.0004873294496317,0.2331853135492256,0.530292541599364,0.2309229226133761,0.8927125506072875,0.0121599340478153,0.6156036104430889,violence,0.6714285714285714
5205,wings,medley: hold me tight/lazy dynamite/hands of love/power cut,1973,pop,hold tight wait life hold tight care right hold tight hold tight hold tight hugga right hold tight squeeza tight hold tight hugga right hold tight hold tight hold tight go tonight candlelight right hold tight hold tight hold tight hold tight right hold tight hold tight right hold tight hold tight hold tight hold tight right hold tight squeeza tight hold tight hugga right hold tight hold tight lazy dynamite lazy dynamite lazy dynamite lazy dynamite lazy dynamite come tonight time right fight feel heart know inside hide fight feel heart lazy dynamite lazy dynamite lazy dynamite lazy dynamite fight feel heart know inside hide fight feel heart lazy dynamite lazy dynamite lazy dynamite lazy dynamite hand fall hand imagine fall head heal night know time dream fall hand fall hand night know time dream fall hand fall hand sweet night know time dream fall hand fall hand sweet power powercut candle burn inside say news tell baby know miracle baby baby baby baby baby baby tell baby know miracle baby baby baby baby baby baby baby,178,0.1411434104062308,0.0611583541296425,0.0003706449871598,0.1460592235755382,0.000370644925218,0.0003706449239481,0.4922534517260337,0.0003706449478527,0.0003706449292344,0.000370644926086,0.0003706449290117,0.0003706449374648,0.0003706449308188,0.0003706449271311,0.1188646045919544,0.0357025714113044,0.404310624932308,0.6275671102222906,0.2730916396502406,0.0,0.3961253091508656,0.4414239964251135,romantic,0.6714285714285714
6487,the modern lovers,ice cream man,1977,pop,everybody modern lovers gonna sing cream cream street hear truck outside neat cream block little chime reel cream ring play music learn cream ring chime afternoon fine cream street hear truck today aneat aneat aneat cream block chime chime reel cream street little truck know aneat neat cream block hear chime know reel cream street little truck know aneat aneat aneat cream block chime chime reel cream street hear truck today neat neat cream ring chime afternoon fine time cream ring play music learn cream ring chime afternoon fine,89,0.00111982085831,0.0011198208452918,0.0424940710672992,0.0011198209493958,0.0011198209144695,0.0562323574953854,0.0011198209220501,0.0011198209708087,0.0011198209166111,0.3315303504364326,0.530314039886661,0.0011198208512271,0.0011198208302779,0.0011198209154606,0.001119820862958,0.0011198208418466,0.5191162135817179,0.4519139553367689,0.7068270148865613,7.459514170040485e-05,0.4558944765045342,0.3623424475318949,music,0.6142857142857143
8097,pat benatar,fire and ice,1981,pop,give fever tonight wanna play forget see work straight leave cry see burn come like flame turn cold shoulder wanna little piece heart tear apart move kill tonight advantage light pretty fade away cause illusion passion play see burn come like flame turn cold shoulder wanna little piece heart think figure expert field doubt know methods inside take come like flame turn cold shoulder wanna little piece heart come like flame turn cold shoulder wanna little piece heart come like flame turn cold shoulder come like flame turn cold shoulder,90,0.0394984498552833,0.0984473062780837,0.0006191950670818,0.0279019220754426,0.0006191950495221,0.0612099705313147,0.0006191950560424,0.0006191950833661,0.0006191950854348,0.0006191950845268,0.0006191950733923,0.2583757048362842,0.000619195048821,0.0982281405730554,0.348131372522806,0.0006191950476735,0.7281490306509262,0.6637694536317719,0.1054207885750889,0.0006285425101214,0.6753915910964551,0.478462190210545,sadness,0.5571428571428572
8223,modern english,after the snow,1982,pop,rhythm rain give beat window pane like cry beauty snow beauty snow temperature drop rapidly normal service shortly resume beauty snow beauty snow snow stand watch dark rise glare sunlight eye think time go laugh aloud crimson snow snow snow snow snow bear snow bear snow bear snow bear snow snow rhythm rain give offbeat window pane like cry beauty snow beauty,62,0.0010526315827664,0.0010526316360224,0.0588032740982338,0.0010526317278819,0.0010526315797503,0.0010526315923498,0.0010526315878148,0.0010526317225655,0.0010526316608925,0.3325004957050867,0.0010526316305437,0.3854430637645768,0.0900238061309654,0.0010526316939461,0.0571522556866849,0.0010526316439874,0.591682010180873,0.6071071456041842,0.0067861513917182,0.2419028340080971,0.8000824402308326,0.6316201266746269,music,0.5428571428571428
8829,modern english,hands across the sea,1984,pop,come close eye touch greet reach stretch hand come close eye touch meet reach stretch hand sit room hear call thousand away mean hurt take surprise close eye oooooh lady come close eye touch greet reach stretch hand come close eye touch meet reach stretch hand explain feel begin close eye,51,0.0827936853650353,0.0011695906977434,0.0011695906806192,0.0011695906550713,0.0011695906439766,0.001169590647013,0.3005319399706886,0.0011695907766633,0.001169590667406,0.0461513299083972,0.0011695907020888,0.4341919091474152,0.001169590665029,0.0011695906711914,0.1199568661159761,0.0011695907394659,0.6555832340517709,0.5750839678999051,0.0253002262050463,0.0081174089068825,0.6990931574608409,0.5705571585418883,romantic,0.5142857142857142
9423,kate bush,under ice,1985,pop,wonderful white river freeze soul skate fast speed past tree leave little line cut little line split split sound silver heel spit spit snow move move water try cold water help,31,0.0022883295439709,0.3532103137586427,0.0022883295970435,0.0022883296895076,0.0022883295198235,0.1344147076245395,0.002288329527068,0.0022883296473686,0.0022883295613106,0.0022883297651607,0.002288329675766,0.1292762627370934,0.0022883296353837,0.002288329521291,0.0022883297064447,0.0022883295201831,0.4931224953969457,0.3767146116965361,0.8062247050448846,0.0,0.0650247320692497,0.0458160455061259,violence,0.5
9576,billy bragg,there is power in a union,1986,pop,power factory power land power hand worker amount stand power union lessons past learn workers blood mistake boss cities farmlands trench boss union forever defend right blackleg workers unite brothers sisters land power union long morning realize brutality unjust laws defeat defend workers organize boss send lackies cheat money speak money devil come speak skin bone comfort widow light child power union union forever defend right blackleg workers unite brothers sisters stand power union,74,0.0014224751690433,0.3162278331335479,0.0755676451015507,0.1329184106135936,0.0014224751123687,0.0014224751311128,0.0014224751439546,0.0014224751742475,0.065912387022228,0.0014224751388063,0.0014224751723433,0.0014224753752534,0.2238735819362649,0.0014224751119249,0.0014224751657903,0.0014224752626669,0.4216397703888228,0.7757095608030151,0.3584330907962759,1.2753036437246965e-06,0.546578730420445,0.5375230938143414,violence,0.4857142857142857
9730,john farnham,break the ice,1986,pop,freeze silence face gotta cool think stone game will playin nerve steel balance edge feel gonna night gotta feel right skin cuttin like knife ready break feel like time stand aim right heart ready spill right break inside single mind passion solitary stand think leave cold givin gonna night fall prepare lose fight ready break feel like time stand aim right heart ready spill right break ready break feel like time stand aim right heart ready spill ready break feel like time stand aim right heart ready spill ready break,90,0.0007209805352422,0.1526434268144207,0.0007209805443021,0.3430902877029569,0.0007209805383953,0.0007209805351811,0.0007209805395571,0.0007209805613383,0.0282154597724137,0.0007209805496129,0.0007209805456734,0.0007209805447361,0.0007209805360692,0.0675961627548885,0.267832378115537,0.0579206558288009,0.4822917794866241,0.7717867856318744,0.0403604822896408,0.0,0.5805853256389119,0.9149122575199544,night/time,0.4857142857142857
9734,"10,000 maniacs",cherry tree,1987,pop,shoulder mind eye fall magazine watch wonder face change line read line circle mystery pull apple taste wonderful pride read save life ashamed live silence afraid speak life darkness read line circle mystery pull apple taste wonderful wouldn need eye guide make humble green learn line circle frighten fear trample reach fall pick slowly devour book tower knowledge,58,0.00119617225574,0.6038377975963005,0.2176855143428901,0.0011961723335759,0.0011961724792465,0.0011961722663041,0.0011961722823897,0.0011961723746039,0.001196172283302,0.001196172265288,0.0011961723385685,0.1593379312743648,0.0011961722565979,0.0011961723035757,0.001196172329595,0.0011961722511619,0.5884327954077765,0.5087044586313874,0.0069467941232872,5.961538461538462e-06,0.84439406430338,0.6065943200628487,violence,0.4714285714285714
10123,edie brickell & new bohemians,air of december,1988,pop,thursday afternoon cast round room breeze move curtain lift perfume dance lazy curl hair like pink champagne glisten eye remember chill face like december swear remember swear remember swear remember stand lake want grant grass high water mirror tiny sparkle remember chill face like december swear remember swear remember swear remember bymyself mornings bird windchime treelimbs crackle climb like pink champagne glisten eye remember chill face like december swear remember swear remember swear remember,74,0.001052631587956,0.0010526316587158,0.3205042179681648,0.0010526315917549,0.0010526315808531,0.0010526315810789,0.0010526315890204,0.0010526316376751,0.0010526316377752,0.0010526316180834,0.0010526316534869,0.3066065062471346,0.0010526315874108,0.3360471699310815,0.0010526316278768,0.0010526315793589,0.6837430954186072,0.5227290208445503,0.6164654783789945,0.0,0.1436521022258862,0.3122908343083387,world/life,0.4571428571428571
10522,dionne warwick,love power,1989,pop,psychic tell know true tell get say call turn walk away look girl night try light hold arm know tell hadn get wonder call mistake look late talkin power rule take fool take power take get hopin like walk away uhhuh look mmmhmm mistake power rule take fool take power rule mistake power rule take fool take power rule get hopin like walk away walk away ohwhoa look oohmmm mistake power rule take fool take power rule get,78,0.0007412898514957,0.0007412898754283,0.0007412898795427,0.0007412899445569,0.0007412898460412,0.0007412898493213,0.0007412899033655,0.1749300868945935,0.0297021984728612,0.0007412898750869,0.0007412898932792,0.0350173517813756,0.0007412898997191,0.0702934030220865,0.5660629547103835,0.0007412898481642,0.7779703238384058,0.5763146424634003,0.2499992469871957,1.6194331983805668e-05,0.6125309150865622,0.4814652870039584,sadness,0.4428571428571428
11034,green day,dry ice,1991,pop,late night dream fly hand hand wake cold sweat wish pray tear leave face cry dream understand want friend send letter girl ask write wrong song right love word straight lips need forever dream understand want friend dream understand want friend come ease pain heart come ease pain heart come ease pain heart come ease pain heart late night dream fly hand hand wake cold sweat wish pray tear leave face cry dream understand want friend dream understand want friend dream understand want friend come ease pain heart come ease pain heart come ease pain heart come ease pain heart,100,0.0792509403159893,0.0559356047883264,0.0005211047688543,0.0496413054300109,0.0005211047592785,0.0005211047594942,0.0933856754608626,0.1414953839229045,0.0005211047602225,0.044286345904818,0.0005211047637866,0.0319965029909519,0.0005211047968551,0.0005211048602284,0.4014792122561053,0.0005211047556533,0.184447091952778,0.8338589339281594,0.0024789181515242,0.0,0.2745259686727123,0.9939938064131733,sadness,0.4142857142857143
11685,boyz ii men,let it snow,1993,pop,snow snow snow snow christmas holiday thing angels sing cause thing slip away outside rain sleet body meet care bout weather snow snow outside cold blazin baby snow snow snow snow ohhhh come help trim tree wanna wrap baby present need wait store precious gladly place ohhh come little closer send heaven snow snow outside cold blazin baby snow snow snow snow snow snow snow snow care bout weather baby long,71,0.1356238563837034,0.0008628128189285,0.0008628127992274,0.0008628128509222,0.0008628129424368,0.0491566517992659,0.0008628128141999,0.0008628128331403,0.0792554472287541,0.6132370565546474,0.0008628128350987,0.0593774089055128,0.0008628128068981,0.0008628128034786,0.0008628128760252,0.0008628127771566,0.688075381782736,0.6243109504397097,0.7218872709711558,2.6214574898785424e-05,0.5507007419620774,0.4153971575488643,music,0.3857142857142857
11693,sarah mclachlan,ice cream,1993,pop,better cream better try better cream know fight long long long place start better chocolate better try better chocolate know long long long place start,25,0.0023923445110584,0.0023923445856734,0.002392344626727,0.3509360216844751,0.0023923444994775,0.0023923445228793,0.0023923445100535,0.6083941209182335,0.0023923446995574,0.0023923445449022,0.0023923446197798,0.002392344548912,0.0023923445256077,0.0023923445073965,0.0023923446485122,0.0023923445028365,0.6285064442759667,0.5745968258851883,0.7238953051157683,0.0,0.5043281121187139,0.4103919962265087,night/time,0.3857142857142857
12156,the offspring,nitro (youth energy),1994,pop,generation see world throw live like tomorrow tomorrow tomorrow ones live go know live like tomorrow gonna waste life tomorrow gonna live tomorrow gonna waste life tomorrow gonna live believe official view world change live fast cause understand feel know nitro mean live like tomorrow tomorrow,46,0.0011961722606792,0.0011961723024972,0.7436470302035745,0.0011961722985291,0.0011961722555918,0.0011961722515077,0.0011961722559785,0.0011961724562236,0.0011961723794563,0.0011961722550432,0.0011961723491596,0.0011961722668834,0.0011961722706855,0.077344400658384,0.0011961723644535,0.0335853197903326,0.2819235351456731,0.7513268210137681,0.000816265879785,0.0,0.7619538334707338,0.902899870346301,world/life,0.3714285714285714
12505,raekwon,"ice cream (feat. ghostface killah, method man & cappadonna)",1995,pop,tracklist hooch khaled tourist esco sauce future vert partynextdoor gucci mane pussy print kanye hooch good music champion quavo gucci mane gotti desiigner young thug pick phone quavo quavo cuff partynextdoor kodak black like hoe madeintyo uber khaled key jayz future savage future pusha drug dealers anonymous jayz young ooouuu hood mode schoolboy muir khalid location tame impala eventually boogie hoodie shit khaled work gucci mane chainz vert seven million future dram cute gucci mane guwop home young thug usher limit remix savage heart luxury pints bricks timeless light friends iver kamaiyah feel brazy miller dang anderson paak bieber company partynextdoor buzzin yachty drama boyz hood meek pusha dolla snake quavo gsha key common remix kanye wutang clan cream ghostface killah mighty healthy kanye appal cyhi prynce swizz beatz pusha kanye flow ghostface killah pusha kanye heartless kanye good friday pusha cudi common raekwon cream ghostface killah method cappadonna method need blige root saadiq root respondreact root dynamite kanye hours tribe call quest butter tribe call quest tribe call quest sucka nigga rapper action wutang clan wutang clan nuthing fuck bieber runaway remix raekwon kanye hooch,186,0.0015948963425945,0.0015948964665955,0.133888922475494,0.0015948964015179,0.0015948965629362,0.0015948964503545,0.0015948963821938,0.001594896388658,0.366087335528255,0.1659749846474657,0.0015948964405937,0.001594896756686,0.1896469384050287,0.0015948963873075,0.0370817457062515,0.0865864196054148,0.6729123795082855,0.7247647616849986,0.2198787348180068,0.0007702429149797,0.7217642209398186,0.902899870346301,obscene,0.3571428571428571
13308,phish,wading in the velvet sea,1998,pop,take moment wrap things mail address soon package begin break point try toss like thoughts time leak life leak moments clock take moment wrap things mail,26,0.0027700831027822,0.0027700833497263,0.5168678857638731,0.1009387189805931,0.0027700831025456,0.0027700831197756,0.0861221297750132,0.0027700832752259,0.0027700832182175,0.0027700832333972,0.0027700832555595,0.0027700832278187,0.0027700831203215,0.0596968994426983,0.1975932016079423,0.0027700831068078,0.423805913570887,0.6659744122247006,0.598393171077481,0.361336032388664,0.2941055234954658,0.5134983194670344,world/life,0.3142857142857143
13408,madonna,the power of good-bye,1998,pop,heart open spell break love freedom come learn creation come learn lesson learn fortress burn pain warn wrong pray long wanna higher leave place leave hide greater power power goodbye heart open spell break love lesson learn fortress leave lose heart bruise greater power power goodbye learn goodbye yearn goodbye leave place leave hide greater power power goodbye leave lose heart bruise greater power power goodbye,66,0.0009930488072064,0.0009930487088246,0.1108432730204368,0.0009930487801191,0.0009930486593898,0.0009930486809909,0.1726519858459455,0.0009930487242599,0.0009930486699376,0.0009930486973627,0.0009930486866108,0.0420025716557232,0.0292640392287473,0.0009930486597297,0.4311341039084666,0.0009930486862958,0.5115347124444927,0.62990026408225,0.044376550578866,0.6862348178137652,0.2013602638087386,0.5615478681616483,sadness,0.3142857142857143
14624,transplants,tall cans in the air,2002,pop,hurt look baby yeah crew ugly game money show honey funny hate fuckin gut time gold lowrinding bike catch hatin know like chillin smokin chronic chokin stress tall can fuck tall can fuck fact pocket stay cash whack cocaine sack crew roll lack wish come flat better fuckin miss drinkin whiskey know diablo past tipsy drink high sober yeah talk head tread joker sing shout come clean forever doubt like machine trigger better watch yeah transplant fuck come original style say fuck distillers lasalle transplant fearless original think fuck better think twice thugs wolfpack nice check date time lyrically commit hate crimes noose cord hang time blow mind rhyme design break spike transplant comin kind chrome dome flip like flapjack tall can packet blackjack,124,0.0386820231969306,0.0007518797387746,0.000751879733234,0.0291941546806814,0.0443239042546835,0.0007518797021147,0.0007518797069427,0.1344473689708722,0.5609301364592251,0.0180231795280175,0.1509949169517805,0.0007518797196815,0.0007518797085055,0.0007518797588106,0.0007518797484451,0.0007518797441365,0.5299469294920395,0.8594467092274952,0.0131516196301401,0.0,0.5888293487221763,0.9389370318672614,obscene,0.2571428571428571
15312,coldplay,swallowed in the sea,2005,pop,tree bring go wrong shelf keep blame blame write song long belong belong write spread lose swallow line hang darling decide size open eye realize write book shake world take take write spread lose come swallow write song long belong belong streets walk thousand house long belong belong good live leave forget forgive love streets walk thousand house long belong belong swallow belong swallow yeah belong swallow,67,0.0008628127876649,0.0008628128263243,0.119921553109042,0.0568223915318148,0.0174379669906685,0.0008628127830902,0.0390569991366653,0.0008628128059296,0.000862812799665,0.3811523907182619,0.0880169718243171,0.0440693404182612,0.0267657586997729,0.0008628127773308,0.2006787027633868,0.018312609646469,0.2472652442326438,0.6367202522882854,0.0559227469103884,1.305668016194332e-06,0.1333470733718054,0.3783589637634327,music,0.2142857142857142
16012,pinback,good to sea,2007,pop,move earth outside grind shake like beat dense terrible sound teem asleep sign believe situation best good good good good kind terrorize sleep try probably deep fine feet ideas meet good good good mind good think health good strange mind work good strange mind work good good mind good think health good strange mind work good strange mind work good strange mind work good strange mind work good strange mind work,71,0.0008354218900257,0.0464326455581011,0.0008354219260347,0.175475875837689,0.0008354218889796,0.1104534249719494,0.0008354218978753,0.1379094075140208,0.0008354219304874,0.0008354219483117,0.0008354219422386,0.0008354219262806,0.1564856791947405,0.0008354219853082,0.0008354219141626,0.3016793327241522,0.7714718942922129,0.7130477142783888,0.5030115492083829,0.0005334008097165,0.9319868095630668,0.7767698050229395,feelings,0.1857142857142857
16590,twenty one pilots,air catcher,2009,pop,fall slow like fall straight steal catcher keep safe sound parachute safely grind cord work star fall fall avoid eye think beat moon pretty contest moon happen thing miss fine wasn lack steal catcher know want fall fall avoid eye cause sure want tool destroy heart wanna hear write fear believe talk breathe fall selfishly fall fall avoid eye word tool destroy heart,63,0.0010741138670861,0.0010741139467251,0.0010741138978107,0.0010741138889841,0.0010741138604122,0.0151044216420997,0.0010741138805407,0.2105536873906862,0.0010741139262911,0.0462941359656332,0.0010741139030727,0.114493442077813,0.001074113858166,0.0663421863405626,0.4387841246481237,0.001074114027771,0.4952886385790102,0.7074584006358484,0.073392643968518,0.0,0.1127370156636438,0.4364188351027578,sadness,0.1571428571428571
16634,keri hilson,energy,2009,pop,uhoh yeah wish memory cause energy phase cause kill rewrite history mystery hard believe lonely chance fade run suppose have nightmares sleep enemy reverse chemistry want take energy energy energy energy energy take energy energy energy energy energy take energy like yesterday gravity feet grind divide hide misery mystery hard believe lonely chance fade run suppose have nightmares sleep enemy reverse chemistry want take energy energy energy energy energy take energy energy energy energy energy take feel change afford slip person mean whoa afraid walk give move get deep cause take energy have nightmares sleep enemy reverse chemistry want take energy have nightmares sleep enemy reverse chemistry want take energy energy energy energy energy take energy energy energy energy energy take kill take yeah take energy,126,0.0008223684249969,0.0853220563169172,0.0531169668208845,0.1272200148854033,0.0513161884804333,0.0008223684430664,0.0008223684307678,0.0008223684922025,0.0008223684587001,0.0008223684248607,0.0008223684718001,0.000822368441887,0.000822368438113,0.0008223684703674,0.5723459841245025,0.0008223684494418,0.3837322647026969,0.7688382944901674,0.0920673615134151,0.0,0.5960428689200329,0.7827759986097663,sadness,0.1571428571428571
